Marcha,Autor,Año,Duración (seg),Duración (min),Dedicatoria,Localidad,Corneta,DR,LS,MS,XS,JS,VS,SS,Total_M
A la memoria de mi Padre,Manuel Font Fernández de la Herranz,1899,346,0:05:46,Persona,Sevilla,0,0,0,0,0,0,0,0,0
A la Virgen del Manto Rojo,Eduardo Piet Fernández,NA,267,0:04:27,Virgen de la Victoria,Sanlúcar de Barrameda,1,1,0,0,0,0,0,0,1
A ti… Manué,Juan José Puntas,1990,355,0:05:55,Hermandad Gitanos Sevilla,Sevilla,0,0,1,0,0,0,0,0,1
Al Cielo con Ella,Pedro Morales,1994,255,0:04:15,Virgen del Dulce Nombre,Sevilla ,1,1,1,0,0,0,0,0,2
Al Santísimo Cristo de la Exaltación,Manuel López Farfán,1907,224,0:03:44,Cristo de la Exaltación,Sevilla,0,0,0,1,0,0,1,0,2
Alma de la Trinidad,Eloy García,2000,311,0:05:11,Virgen de la Trinidad,Málaga,0,1,0,0,1,0,0,0,2
Alma de los Javieres,Justo Manuel  Jiménez Fábregas,2014,305,0:05:05,Virgen Gracia y Amparo,Sevilla,0,0,0,1,0,0,0,0,1
Almas,Abel Moreno,2022,277,0:04:37,Cristo de las Almas,Sevilla,0,0,0,1,0,0,0,0,1
Amargura,Germán Álvarez Beigbeder,1949,290,0:04:50,Virgen de la Amargura,Jerez de la Frontera,0,0,0,0,1,0,0,0,1
Amargura Jerezana,Francisco Cano,1988,280,0:04:40,Virgen de la Amargura,Jerez de la Frontera,1,0,0,0,2,0,0,0,2
Amarguras,Manuel Font de Anta,1919,450,0:07:30,Virgen de la Amargura,Sevilla,0,0,0,1,1,1,1,1,5
Amparo de Nuestras Almas,Juan Velázquez ,1997,251,0:04:11,Hermandad Javieres,Sevilla,0,0,0,1,0,0,0,0,1
Aniversario Macareno,Juan Velázquez ,1989,207,0:03:27,Esperanza Macarena,Sevilla,1,1,1,0,0,0,0,0,2
Aquella Virgen,Manuel Gómez de Arriba,1960,267,0:04:27,Virgen de la O,Sevilla,0,0,0,0,1,1,0,0,2
"Aurora, Reina de la Mañana",Pablo Ojeda,2017,276,0:04:36,Virgen de la Aurora,Sevilla,1,2,1,0,0,1,0,0,4
Ave María,Vladimir Vavilov,1970,215,0:03:35,Sin dedicatoria,NA,0,0,0,0,0,0,0,0,0
Ave María,Cristóbal López Gándara,2012,255,0:04:15,Virgen de Gracia,Úbeda,1,1,1,0,1,1,0,0,4
Bendita Amargura,Víctor Manuel Ferrer,2014,287,0:04:47,Virgen de la Amargura,Jerez de la Frontera,1,0,0,0,1,0,0,0,1
"Bendita seas, Victoria",Juan Manuel Gallego Rodríguez,2023,298,0:04:58,Virgen de la Victoria,Sanlúcar de Barrameda,1,2,0,0,0,1,0,0,3
Calvario,Francisco Javier Alonso Jiménez,1990,242,0:04:02,Persona,Sevilla,0,0,0,0,1,0,0,0,1
Capataz Gaditano,Claudio Gómez,2004,268,0:04:28,Persona,Cádiz,1,0,0,0,0,0,0,0,0
Caridad Soberana,Jesús Joaquín Espinosa de los Monteros,2015,296,0:04:56,Virgen de la Caridad,Sanlúcar de Barrameda,1,0,1,0,0,0,0,0,1
"Como tú, ninguna",David Hurtado Torres,2014,242,0:04:02,Esperanza Macarena,Sevilla,1,1,1,0,1,0,0,0,3
Coronación,Manuel Marvizón,2002,269,0:04:29,Virgen de los Dolores ,Sevilla,1,1,1,0,1,0,0,0,3
Coronación de la Macarena,Pedro Braña,1963,177,0:02:57,Esperanza Macarena,Sevilla,1,1,1,0,4,1,0,0,7
Cristo de la Buena Muerte,José Albero Francés,1974,293,0:04:53,Cristo de la Buena Muerte,Sevilla,0,0,0,0,0,0,0,0,0
Cristo de la Expiración,Germán Álvarez Beigbeder,1921,364,0:06:04,Cristo de la Expiración,Jerez de la Frontera,0,1,0,1,0,0,1,1,4
Cristo de la Lanzada,Rafael Márquez Galindo,1947,298,0:04:58,Cristo de la Lanzada ,Jerez de la Frontera,0,0,0,0,0,0,0,1,1
Cristo de la Sangre,Emilio Cebrián,1941,349,0:05:49,Cristo  de la Sangre,Torrijos,0,0,0,1,0,0,1,1,3
Cristo de la Sed,Pedro Gámez Laserna,1973,301,0:05:01,Cristo de la Sed,Sevilla,0,0,0,1,0,0,1,1,3
Cristo de las Almas,Ignacio Otero Nieto,1987,318,0:05:18,Cristo de las Almas,Sevilla,0,0,0,0,0,0,0,0,0
Cristo de la Vera Cruz,Manuel Borrego Hernández,1941,298,0:04:58,Cristo de la Vera-Cruz,Alcalá del Rio,1,0,0,0,0,0,1,0,1
Cristo del Buen fin,Luis Lerate Santaella,1945,367,0:06:07,Cristo del Buen Fin,Sevilla,0,0,0,1,0,0,1,0,2
Cristo en la Alcazaba,Fulgencio Morón,1980,268,0:04:28,Cristo de las Misericordias,Sevilla,0,0,0,1,0,0,0,0,1
Cuando pasa la Esperanza,Cristóbal López Gándara,2017,277,0:04:37,Virgen de la Esperanza,Sanlúcar de Barrameda,1,1,1,0,0,3,0,0,5
Cuenta lo que fuimos,Roque Baños,2007,404,0:06:44,Hermandad del Santo Sepulcro,Jumilla,0,0,0,1,0,0,0,1,2
Desamparo,Germán Álvarez Beigbeder,1907,243,0:04:03,Virgen del Desamparo,Jerez de la Frontera,0,0,0,1,0,0,1,1,3
Dios te salve Amargura,Paco Cepero,2014,269,0:04:29,Virgen de la Amargura,Jerez de la Frontera,0,1,0,0,1,1,0,0,3
Ecce Homo,Eduardo Escobar,1929,262,0:04:22,Ntro Padre Jesús del Ecce Homo,Cádiz,0,0,1,1,0,0,0,1,3
El Amor Crucificado,David Hurtado Torres,2017,301,0:05:01,Cristo del Amor,Sevilla,0,0,0,1,0,0,0,0,1
El Cachorro Saeta Sevillana,Pedro Gámez Laserna,1967,407,0:06:47,El Cachorro,Sevilla,1,1,0,1,0,0,0,1,3
Corpus Christi,Braulio Uralde Bringas,NA,331,0:05:31,NA,NA,1,0,0,0,1,0,0,0,1
El Refugio de María,Manuel López Farfán,1921,252,0:04:12,Virgen del Refugio,Sevilla,0,0,0,0,0,0,0,0,0
Esperanza,Manuel López Farfán,1899,304,0:05:04,Esperanza Macarena,Sevilla,0,0,0,1,0,1,1,0,3
Esperanza de Sanlúcar,Javier Alonso Barba,2002,225,0:03:45,Virgen de la Esperanza,Sanlúcar de Barrameda,1,0,0,0,0,1,0,0,1
Esperanza de Triana Coronada,José Albero Francés,1984,254,0:04:14,Virgen de la Esperanza de Triana,Sevilla,1,0,0,0,0,1,0,0,1
Esperanza de Vida,Manuel Marvizón Carvallo,2017,269,0:04:29,Personas,Sevilla,1,0,0,0,0,0,0,0,0
Esperanza Macarena,Juan Vicente mas Quiles,1947,402,0:06:42,Esperanza Macarena,Sevilla,0,0,0,1,0,0,1,0,2
Esperanza Macarena,Pedro Morales,1968,211,0:03:31,Esperanza Macarena,Sevilla,1,1,1,0,1,1,0,0,4
Esperanza por los pobres coronada,Justo Manuel  Jiménez Fábregas,2007,258,0:04:18,Virgen de la Esperanza,Sanlúcar de Barrameda,1,0,0,0,0,1,0,0,1
Flagelación,Paco Cepero,NA,297,0:04:57,Virgen de la Amargura,Jerez de la Frontera,0,0,0,0,0,0,0,0,0
Getsemaní,Ricardo Dorado Janeiro,1960,378,0:06:18,Persona,NA,0,0,0,1,0,0,0,0,1
Gracia y Amparo,Abel Moreno,1989,359,0:05:59,Virgen de Gracia y Amparo,Sevilla,0,0,0,0,0,0,0,0,0
Gracia y Esperanza,José Albero Francés,1975,233,0:03:53,Virgen de Gracia y Esperanza,Sevilla,1,0,0,0,0,0,0,0,0
Ha Muerto,Eduardo López Juarranz,1880,262,0:04:22,Viernes Santo,Cádiz,0,0,0,0,0,0,0,1,1
Hermanos Costaleros,Abel Moreno,1985,239,0:03:59,Persona,Sevilla,0,0,0,0,1,0,0,0,1
Himno de la Coronación Canónica Ntra Sra de las Penas,Juan Verdía,2021,273,0:04:33,Virgen de las Penas,Cádiz,1,0,2,0,0,0,0,0,2
Hiniesta,José Martínez Peralto,1945,288,0:04:48,Virgen de la Hiniesta,Sevilla,0,1,0,0,0,0,1,0,2
Hiniesta Coronada,José Albero Francés,1974,247,0:04:07,Virgen de la Hiniesta Gloriosa,Sevilla,1,1,0,0,1,0,0,0,2
